;masse A;;
t;x;y;
7,457;1,205E3;162,1
7,491;1,200E3;149,1
7,524;1,194E3;135,7
7,557;1,187E3;122,7
7,590;1,178E3;109,6
7,624;1,167E3;96,81
7,657;1,153E3;84,31
7,690;1,139E3;72,08
7,724;1,122E3;61,24
7,757;1,102E3;50,85
7,790;1,081E3;41,79
7,823;1,060E3;33,20
7,857;1,038E3;25,18
7,890;1,015E3;17,79
7,923;995,9;10,25
7,957;978,0;2,077
7,990;962,8;-6,180
8,023;943,6;-12,99
8,056;926,9;-20,36
8,090;915,9;-29,87
8,123;903,1;-38,57
8,156;890,0;-45,54
8,190;878,8;-53,71
8,223;864,6;-61,44
8,256;851,0;-68,65
