time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-06-06T20:27:52.124	WT901BLE67(38:1E:C7:E4:EA:9B)	0.777	-1.425	0.312	-6.165	8.301	2.686	-70.97	-23.83	45.09	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:52.169	WT901BLE67(38:1E:C7:E4:EA:9B)	0.769	-1.427	0.343	2.502	-1.221	-0.793	-71.38	-24.14	45.57	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:52.240	WT901BLE67(38:1E:C7:E4:EA:9B)	0.826	-1.428	0.376	0.488	-6.958	-1.892	-71.79	-24.77	46.38	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:52.330	WT901BLE67(38:1E:C7:E4:EA:9B)	0.800	-1.417	0.348	-4.822	-5.798	-0.183	-72.50	-25.23	46.79	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:52.446	WT901BLE67(38:1E:C7:E4:EA:9B)	0.828	-1.432	0.300	2.136	-31.128	2.625	-73.62	-25.64	48.22	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:52.533	WT901BLE67(38:1E:C7:E4:EA:9B)	0.765	-1.432	0.328	-1.343	2.686	-2.319	-74.67	-26.13	51.28	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:52.656	WT901BLE67(38:1E:C7:E4:EA:9B)	0.785	-1.411	0.354	-5.188	-0.366	-2.747	-74.91	-26.41	50.62	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:52.733	WT901BLE67(38:1E:C7:E4:EA:9B)	0.836	-1.400	0.298	0.427	4.761	-2.136	-74.75	-26.53	49.77	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:52.850	WT901BLE67(38:1E:C7:E4:EA:9B)	0.789	-1.432	0.329	3.723	-1.831	3.418	-74.66	-26.54	50.22	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:52.937	WT901BLE67(38:1E:C7:E4:EA:9B)	0.763	-1.430	0.359	-1.892	0.732	-1.282	-74.71	-26.54	50.60	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:53.048	WT901BLE67(38:1E:C7:E4:EA:9B)	0.823	-1.415	0.327	-2.258	2.258	-1.282	-75.03	-26.82	50.58	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:53.140	WT901BLE67(38:1E:C7:E4:EA:9B)	0.792	-1.430	0.313	2.747	0.000	0.000	-75.11	-26.91	50.66	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:53.256	WT901BLE67(38:1E:C7:E4:EA:9B)	0.795	-1.425	0.368	3.235	-4.578	-3.845	-74.93	-27.17	51.03	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:53.341	WT901BLE67(38:1E:C7:E4:EA:9B)	0.823	-1.420	0.340	-1.770	-4.028	-0.061	-74.97	-27.46	51.09	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:53.455	WT901BLE67(38:1E:C7:E4:EA:9B)	0.792	-1.425	0.344	-0.305	-1.831	5.310	-75.20	-27.32	51.38	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:53.526	WT901BLE67(38:1E:C7:E4:EA:9B)	0.842	-1.436	0.313	0.916	1.526	7.080	-75.37	-26.92	51.71	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:53.657	WT901BLE67(38:1E:C7:E4:EA:9B)	0.737	-1.460	0.369	-1.709	31.128	10.010	-75.20	-25.88	51.85	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:53.727	WT901BLE67(38:1E:C7:E4:EA:9B)	0.769	-1.473	0.386	5.432	-27.954	20.264	-75.35	-24.87	51.82	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:53.860	WT901BLE67(38:1E:C7:E4:EA:9B)	0.485	-1.446	0.515	-47.119	-69.885	33.569	-78.96	-23.03	55.50	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:53.927	WT901BLE67(38:1E:C7:E4:EA:9B)	0.028	-1.429	0.406	-87.036	-86.243	27.954	-87.67	-20.39	65.20	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:54.063	WT901BLE67(38:1E:C7:E4:EA:9B)	0.250	-1.165	0.171	-98.877	13.855	11.597	-97.45	-19.07	69.13	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:54.134	WT901BLE67(38:1E:C7:E4:EA:9B)	0.428	-1.069	0.076	-55.542	89.905	9.827	-101.24	-18.69	61.02	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:54.241	WT901BLE67(38:1E:C7:E4:EA:9B)	1.077	-1.028	-0.175	-84.778	246.887	-63.110	-101.49	-24.75	44.03	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:54.333	WT901BLE67(38:1E:C7:E4:EA:9B)	1.457	-0.119	-0.394	-14.954	228.638	-219.727	-93.27	-43.40	16.65	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:54.450	WT901BLE67(38:1E:C7:E4:EA:9B)	2.821	1.024	0.122	219.177	252.380	-237.427	-38.18	-60.44	-40.33	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:54.537	WT901BLE67(38:1E:C7:E4:EA:9B)	5.438	2.377	1.566	91.248	59.387	201.721	1.26	-64.54	-49.37	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:54.649	WT901BLE67(38:1E:C7:E4:EA:9B)	0.835	0.132	1.595	710.022	-486.877	310.608	-55.14	-40.98	64.18	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
2026-06-06T20:27:54.734	WT901BLE67(38:1E:C7:E4:EA:9B)	0.813	-2.072	1.374	-1933.289	-128.357	93.628	-91.21	-74.54	77.79	null	null	null	null	null	null	null	null	null	null	10039.1.2	10
